day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle,area_accident_occured,lanes_or_medians,road_allignment,types_of_junction,road_surface_type,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,pedestrian_movement,cause_of_accident,hour,time_period,Predicted_Accident_Severity
Tuesday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to pedestrian,8,Morning,2
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,8,Morning,2
Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Other,Owner,2-5yrs,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,9,Morning,2
Wednesday,Over 51,Male,Junior high school,Owner,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,9,Morning,2
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,No distancing,8,Morning,2
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Getting off the vehicle improperly,6,Morning,2
Tuesday,18-30,Male,High school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Driving under the influence of drugs,6,Morning,2
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,Changing lane to the right,8,Morning,2
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,Driving carelessly,8,Morning,2
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,18,Evening,2
Sunday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Turnover,18,Evening,2
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,16,Afternoon,2
Saturday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,16,Afternoon,2
Wednesday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Not a Pedestrian,No priority to vehicle,8,Morning,2
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Moving Backward,8,Morning,2
Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,Changing lane to the left,14,Afternoon,2
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overturning,14,Afternoon,2
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,14,Afternoon,2
Saturday,18-30,Unknown,Elementary school,Owner,5-10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving carelessly,13,Afternoon,2
Saturday,18-30,Male,Elementary school,Employee,Above 10yr,Long lorry,Owner,Below 1yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,No distancing,13,Afternoon,2
Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,13,Afternoon,2
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No priority to pedestrian,12,Afternoon,2
Wednesday,18-30,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Turnover,Not a Pedestrian,No distancing,12,Afternoon,2
Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,One way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No distancing,12,Afternoon,2
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,3,4,Going straight,Not a Pedestrian,Changing lane to the left,12,Afternoon,2
Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No distancing,12,Afternoon,2
Wednesday,Unknown,Female,High school,Owner,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,Changing lane to the left,12,Afternoon,2
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Below 1yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,No distancing,17,Evening,2
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,No distancing,17,Evening,2
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,4,Moving Backward,Not a Pedestrian,No distancing,17,Evening,2
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,Changing lane to the left,17,Evening,2
Saturday,31-50,Male,High school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Changing lane to the right,13,Afternoon,2
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Moving Backward,13,Afternoon,2
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Changing lane to the right,13,Afternoon,2
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Not a Pedestrian,No distancing,18,Evening,2
Saturday,18-30,Male,High school,Employee,2-5yr,Other,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Overtaking,18,Evening,2
Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Other,Not a Pedestrian,Other,18,Evening,2
Saturday,Over 51,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,2,Other,Not a Pedestrian,Other,16,Afternoon,2
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,16,Afternoon,2
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,10,Morning,2
Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,10,Morning,2
Sunday,18-30,Male,Elementary school,Other,5-10yr,Other,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,10,Morning,2
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Other,Not a Pedestrian,Changing lane to the left,10,Morning,2
Sunday,18-30,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,10,Morning,2
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Getting off,Not a Pedestrian,No distancing,20,Evening,2
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,2,Going straight,Not a Pedestrian,No priority to vehicle,20,Evening,2
Sunday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Changing lane to the right,20,Evening,2
Saturday,Unknown,Female,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,18,Evening,2
Tuesday,Unknown,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,13,Afternoon,2
Tuesday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving carelessly,13,Afternoon,2
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,7,Morning,2
Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,7,Morning,2
Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,21,Night,2
Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Other,Not a Pedestrian,No distancing,21,Night,2
Friday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,No distancing,12,Afternoon,2
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Going straight,Not a Pedestrian,No distancing,19,Evening,2
Friday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Going straight,Not a Pedestrian,Changing lane to the left,19,Evening,2
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Going straight,Not a Pedestrian,Changing lane to the left,19,Evening,2
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,4,Going straight,Not a Pedestrian,Moving Backward,19,Evening,2
Friday,Unknown,Female,Junior high school,Employee,Below 1yr,Automobile,Owner,5-10yrs,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Moving Backward,Not a Pedestrian,Changing lane to the right,19,Evening,2
Friday,Unknown,Female,Junior high school,Owner,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,4,4,Going straight,Not a Pedestrian,No priority to vehicle,19,Evening,2
Tuesday,Over 51,Male,High school,Other,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,17,Evening,2
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Friday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Driving under the influence of drugs,17,Evening,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to pedestrian,17,Evening,2
Friday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to vehicle,17,Evening,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside-parked vehicles,3,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,7,Morning,2
Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside-parked vehicles,3,1,Going straight,Not a Pedestrian,Driving carelessly,7,Morning,2
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Raining,Collision with animals,3,1,Going straight,Not a Pedestrian,No priority to vehicle,7,Morning,2
Wednesday,Unknown,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Other,Not a Pedestrian,Changing lane to the right,15,Afternoon,1
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,Changing lane to the left,6,Morning,2
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,No priority to vehicle,6,Morning,2
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Not a Pedestrian,Driving carelessly,14,Afternoon,2
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Organization,5-10yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Not a Pedestrian,Moving Backward,14,Afternoon,2
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Not a Pedestrian,Overtaking,14,Afternoon,2
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,5-10yrs,No defect, Hospital areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Not a Pedestrian,Changing lane to the left,14,Afternoon,2
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Moving Backward,Not a Pedestrian,Changing lane to the right,14,Afternoon,2
Sunday,Unknown,Male,Elementary school,Owner,2-5yr,Public (12 seats),Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Not a Pedestrian,Overtaking,14,Afternoon,2
Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,Public (12 seats),Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,1,1,Going straight,Not a Pedestrian,Overloading,7,Morning,2
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Not a Pedestrian,Other,10,Morning,1
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Other,Other,2,1,Going straight,Not a Pedestrian,No priority to vehicle,14,Afternoon,2
Saturday,Unknown,Female,High school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads with some distress,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Not a Pedestrian,Changing lane to the right,14,Afternoon,2
Monday,Unknown,Female,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,2,Going straight,Not a Pedestrian,Moving Backward,19,Evening,2
Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Rollover,2,2,Going straight,Not a Pedestrian,Changing lane to the left,19,Evening,2
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,2,Going straight,Not a Pedestrian,No priority to pedestrian,19,Evening,2
Tuesday,Unknown,Male,Junior high school,Employee,Below 1yr,Stationwagen,Governmental,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,No distancing,10,Morning,2
Tuesday,18-30,Male,Elementary school,Employee,2-5yr,Motorcycle,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,10,Morning,2
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,1,1,Going straight,Not a Pedestrian,No distancing,15,Afternoon,2
